sample,reference,np_source,np_type,np_core,diameter_mean,diameter_max,diameter_min,length_mean,length_max,length_min,molecular_weight,density,dispersity_original,hydrodynamic_size,dispersity_water,surface_area,aggregate_size_mean,aggregate_size_max,aggregate_size_min,zeta_potential,image,shape,purity,coating,coating_material,crystalline,centrifuge,stir,stirring,stirring_rate,sonication,sonication2,sonication_freq.,filter,solubilization_media,maximal_dose,minimal_dose,dissolved_cation,ph,exposure_time,exposure_day,water,materials_in_water,concentration_of_materials,number_of_daphina,daphnia_age_hour,test_solution,container_size,repeating_number,rpm,food ,menu,food_concentration,test_solution_renewer,temperature,radiation,ec50,ec_ul,ec_ll,immobilisation_rate,immobilisation_concentration,lc50,lc_ul,lc_ll,mortality,mortality_concentration,others_feature
44,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,45.0,7.2,독성데이터 추가
45,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,65.0,9.0,독성데이터 추가
46,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,0.46,,,50.0,0.46,C60 정보 추가
47,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,12.0,0.04,독성데이터 추가
48,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,8.0,0.18,독성데이터 추가
49,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,14.0,0.26,독성데이터 추가
50,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,52.0,0.35,독성데이터 추가
51,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,60.0,0.44,독성데이터 추가
52,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,70.0,0.51,독성데이터 추가
53,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,48.0,0.7,독성데이터 추가
