sample,reference,np_source,np_type,np_core,diameter_mean,diameter_max,diameter_min,length_mean,length_max,length_min,molecular_weight,density,dispersity_original,hydrodynamic_size,dispersity_water,surface_area,aggregate_size_mean,aggregate_size_max,aggregate_size_min,zeta_potential,image,shape,purity,coating,coating_material,crystalline,centrifuge,stir,stirring,stirring_rate,sonication,sonication2,sonication_freq.,filter,solubilization_media,maximal_dose,minimal_dose,dissolved_cation,ph,exposure_time,exposure_day,water,materials_in_water,concentration_of_materials,number_of_daphina,daphnia_age_hour,test_solution,container_size,repeating_number,rpm,food ,menu,food_concentration,test_solution_renewer,temperature,radiation,ec50,ec_ul,ec_ll,immobilisation_rate,immobilisation_concentration,lc50,lc_ul,lc_ll,mortality,mortality_concentration,others_feature
870,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,432,18.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
871,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,456,19.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
872,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,480,20.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
873,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
874,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,24,1.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,10.0,
875,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,10.0,
876,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,72,3.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,10.0,
877,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,10.0,
878,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,120,5.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,10.0,
879,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,144,6.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,70.0,10.0,
880,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,168,7.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
881,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,192,8.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
882,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,216,9.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
883,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,240,10.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
884,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,264,11.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
885,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,288,12.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
886,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,312,13.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
887,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,336,14.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
888,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,360,15.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
889,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,384,16.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
890,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,408,17.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
891,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,432,18.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
892,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,456,19.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
893,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,480,20.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
894,45,Sigma Aldrich,MeOx,CeO2,11.5,11.7,11.3,,,,,,,3958.0,,60.0,3958.0,5913.0,2003.0,-10,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,100.0,10.0,
895,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,24,1.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,0.1,
896,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
897,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,72,3.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
898,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
899,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,120,5.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
900,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,144,6.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
901,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,168,7.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
902,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,192,8.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
903,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,216,9.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
904,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,240,10.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
905,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,264,11.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
906,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,288,12.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
907,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,312,13.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,10.0,0.1,
908,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,336,14.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,20.0,0.1,
909,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,360,15.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,20.0,0.1,
910,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,384,16.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,0.1,
911,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,408,17.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,0.1,
912,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,432,18.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,0.1,
913,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,456,19.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,0.1,
914,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,480,20.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,0.1,
915,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,30.0,0.1,
916,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,24,1.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
917,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
918,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,72,3.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
919,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
920,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,120,5.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
921,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,144,6.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
922,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,168,7.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
923,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,192,8.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
924,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,216,9.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
925,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,240,10.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
926,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,264,11.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
927,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,288,12.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
928,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,312,13.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
929,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,336,14.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
930,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,360,15.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
931,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,384,16.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
932,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,408,17.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
933,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,432,18.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
934,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,456,19.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
935,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,480,20.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
936,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
937,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,24,1.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
938,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
939,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,72,3.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
940,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
941,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,120,5.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
942,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,144,6.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
943,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,168,7.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
944,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,192,8.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
945,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,216,9.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
946,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,240,10.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
947,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,264,11.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
948,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,288,12.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
949,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,312,13.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
950,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,336,14.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
951,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,360,15.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
952,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,384,16.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
953,45,Sigma Aldrich,MeOx,CeO2,1000.0,,1000.0,,,,,,,2729.0,,0.4,2729.0,4587.0,871.0,-4,,,100.0,0.0,,,,,,,1.0,30.0,,,,,,,,408,17.0,standard synthetic freshwater (moderately hard),,,10,24.0,,,1.0,,,,,,,,,,,,,,,,0.0,3.0,
